Stage Name Stage Name,Full Name Full Name,Date of Birth Date of Birth,Group Group,Country Country,Height,Weight,Birthplace Birthplace,Gender
Wooyoung,Jang Wooyoung,4/30/1989,2PM,South Korea,178,65,Busan,M
Junho,Lee Junho,1/25/1990,2PM,South Korea,178,67,Ilsan,M
Chansung,Hwang Chansung,2/11/1990,2PM,South Korea,184,75,Seoul,M
Jeongkyun,Jeong Jeongkyun,11/27/1987,,South Korea,180,60,,M
Ron,Cheon Byeonghwa,1/22/1991,Bigflo,South Korea,183,62,,M
Yoosung,Jeong Yoosung,10/8/1992,,South Korea,175,52,,M
Z-UK,Jeong Jaewook,1/27/1993,,South Korea,174,62,,M
HighTop,Lim Hyeontae,3/19/1994,Bigflo,South Korea,178,60,,M
Kichun,Hwang Kichun,3/14/1992,,South Korea,179,63,,M
Eunkwang,Seo Eunkwang,11/22/1990,BtoB,South Korea,173,62,Yongin,M
Minhyuk,Lee Minhyuk,11/29/1990,BtoB,South Korea,173,61,Seoul,M
Changsub,Lee Changsub,2/26/1991,BtoB,South Korea,177,64,Suwon,M
Hyunsik,Lim Hyunsik,3/7/1992,BtoB,South Korea,177,66,Ilsan,M
Peniel,Shin Donggeun,3/10/1993,BtoB,South Korea,175,63,Chicago,M
Ilhoon,Jung Ilhoon,10/4/1994,BtoB,South Korea,176,64,Seoul,M
Sungjae,Yook Sungjae,5/2/1995,BtoB,South Korea,180,68,Yongin,M
S.Coups,Choi Seungcheol,8/8/1995,Seventeen,South Korea,177,63,Daegu,M
Wonwoo,Jeon Wonwoo,7/17/1996,Seventeen,South Korea,180,57,Changwon,M
Mingyu,Kim Mingyu,4/6/1997,Seventeen,South Korea,185,65,Anyang,M
Vernon,Choi Hansol,2/18/1998,Seventeen,USA,176,56,New York,M
Woozi,Lee Jihoon,11/22/1996,Seventeen,South Korea,165,54,Busan,M
Jeonghan,Yoon Jeonghan,10/4/1995,Seventeen,South Korea,175,54,Seoul,M
Joshua,Hong Jisoo,12/30/1995,Seventeen,USA,176,63,Los Angeles,M
DK,Lee Seongmin,2/18/1997,Seventeen,South Korea,178,68,Yongin,M
Seungkwan,Boo Seungkwan,1/16/1998,Seventeen,South Korea,172,58,Jeju,M
Hoshi,Kwon Soonyoung,6/15/1996,Seventeen,South Korea,178,63,Namyangju,M
Jun,Weng Junhui,6/10/1996,Seventeen,China,180,63,Shenzen,M
The8,Xu Minghao,11/7/1997,Seventeen,China,175,53,Anshan,M
Dino,Lee Chan,2/11/1999,Seventeen,South Korea,167,54,Iksan,M
Kyungil,Song Kyungil,11/28/1987,HISTORY,South Korea,183,72,,M
Dokyun,Na Dokyun,2/11/1991,HISTORY,South Korea,184,65,Daejeon,M
Sihyoung,Kim Sihyoung,5/15/1992,HISTORY,South Korea,182,63,Busan,M
Jaeho,Kim Jaeho,9/17/1992,HISTORY,South Korea,174,58,,M
Yijeong,Jang Yijeong,9/10/1993,HISTORY,South Korea,173,58,Jinju,M
Donghyun,Kim Donghyun,2/12/1989,Boyfriend,South Korea,178,60,Seoul,M
Hyunseong,Shim Hyunseong,6/9/1993,Boyfriend,South Korea,178,58,Yeongcheon,M
Jeongmin,Lee Jeongmin,2/1/1994,Boyfriend,South Korea,173,60,Suwon,M
Youngmin,Jo Youngmin,4/24/1995,Boyfriend,South Korea,180,0,Anyang,M
Kwangmin,Jo Kwangmin,4/24/1995,Boyfriend,South Korea,180,0,Anyang,M
Minwoo,No Minwoo,7/31/1995,Boyfriend,South Korea,174,60,Anyang,M
Seyoung,Lee Seyoung,2/8/1990,CROSS GENE,South Korea,180,60,Busan,M
Casper,Chu Xiaoxiang,3/20/1991,CROSS GENE,China,176,66,Shanghai,M
Shin,Shin Wonho,10/23/1991,CROSS GENE,South Korea,185,66,Seoul,M
Takuya,Terada Takuya,3/18/1992,CROSS GENE,Japan,187,68,Moriya,M
Sangmin,Kim Sangmin,7/7/1992,CROSS GENE,South Korea,178,67,Jinju,M
Yongseok,Kim Yongseok,1/8/1993,CROSS GENE,South Korea,176,64,Seoul,M
J.seph,Kim Taehyung,6/21/1992,KARD,South Korea,0,0,,M
BM,Matthew Kim,10/20/1992,KARD,South Korea,0,0,,M
Somin,Jeon Somin,8/22/1996,KARD,South Korea,0,0,Seoul,F
Jiwoo,Jeon Jiwoo,10/4/1996,KARD,South Korea,0,0,,F
Youngji,Hur Youngji,8/30/1994,,South Korea,0,0,Goyang,F
Gyuri,Park Gyuri,5/21/1988,KARA,South Korea,0,0,Seoul,F
Seungyeon,Han Seungyeon,7/24/1988,KARA,South Korea,0,0,Seoul,F
Hara†,Koo Hara,1/13/1991,KARA,South Korea,0,0,Gwangju,F
Nicole,Nicole Jung,10/7/1991,,South Korea,0,0,Los Angeles,F
Jiyoung,Kang Jiyoung,1/18/1994,,South Korea,0,0,Paju,F
Jinho,Jo Jinho,4/17/1992,PENTAGON,South Korea,0,0,,M
Hui,Lee Hwitaek,8/28/1993,PENTAGON,South Korea,0,0,,M
Hongseok,Yang Hongseok,4/17/1994,PENTAGON,South Korea,0,0,,M
E'Dawn,Kim Hyojong,6/1/1994,,South Korea,0,0,,M
Shinwon,Go Shinwon,12/11/1995,PENTAGON,South Korea,0,0,,M
Yeo One,Yeon Changgu,3/27/1996,PENTAGON,South Korea,0,0,,M
Yan An,Yan An,10/25/1996,PENTAGON,China,0,0,Shanghai,M
Yuto,Adachi Yuto,1/23/1998,PENTAGON,Japan,0,0,,M
Kino,Kang Hyungku,1/27/1998,PENTAGON,South Korea,0,0,,M
Wooseok,Jeong Wooseok,1/31/1998,PENTAGON,South Korea,0,0,,M
Moonhee,Choi Moonhee,4/15/1997,Bonus Baby,South Korea,167,0,,F
Hayoon,Jung Hayoon,11/21/1998,Bonus Baby,South Korea,163,0,,F
Chaehyun,Kim Chaehyun,11/29/1999,Bonus Baby,South Korea,163,0,,F
Dayun,Kim Dayun,11/20/2000,Bonus Baby,South Korea,164,0,,F
Gaon,Beom Gaon,3/9/2001,Bonus Baby,South Korea,163,0,,F
Kongyoo,Kong Yoojin,5/11/2001,Bonus Baby,South Korea,163,0,,F
Chaekyung,Yoon Chaekyung,7/7/1996,APRIL,South Korea,160,45,Incheon,F
Rachel,Sung Nayeon,8/28/2000,APRIL,South Korea,0,0,,F
Sohee,Kim Sohee,1/20/1995,Nature,South Korea,162,41,Busan,F
Lee Haein,Lee Haein,7/4/1992,I.B.I,South Korea,165,49,Changwon,F
Lee Suhyun,Lee Suhyun,11/5/1996,I.B.I,South Korea,167,50,Ansan,F
Han Hyeri,Han Hyeri,8/24/1997,I.B.I,South Korea,159,42,Gwangmyeong,F
Hyosung,Jun Hyoseong,10/13/1989,SECRET,South Korea,0,0,Cheongju,F
Hana,Jung Hana,2/2/1990,SECRET,South Korea,0,0,Uljeongbu,F
Jieun,Song Jieun,5/5/1990,SECRET,South Korea,0,0,Seoul,F
Sunhwa,Han Sunhwa,10/6/1990,,South Korea,0,0,Busan,F
Heeyu,Choi Heejae,6/30/1995,MIXX,South Korea,159,0,,F
Mia,Son Hyunmi,12/31/1997,MIXX,South Korea,174,0,,F
Heejin,Jeon Heejin,10/19/2000,LOONA,South Korea,0,0,Seongnam,F
Hyunjin,Kim Hyunjin,11/15/2000,LOONA,South Korea,0,0,Jeonju,F
Haseul,Jo Haseul,8/18/1997,LOONA,South Korea,0,0,Ansan,F
Yeojin,Im Yeojin,11/11/2002,LOONA,South Korea,0,0,Guro,F
Handong,Han Dong,3/26/1996,Dreamcatcher,China,0,0,Wuhan,F
Gahyeon,Lee Gahyeon,2/3/1999,Dreamcatcher,South Korea,0,0,Seongnam,F
Nayoung,Im Nayoung,12/18/1995,Pristin,South Korea,171,51,Chungcheongham,F
Roa,Kim Minkyung,7/29/1997,Hinapia,South Korea,172,49,,F
Yuha,Kang Kyungwon,11/5/1997,Hinapia,South Korea,170,50,,F
Eunwoo,Jeong Eunwoo,7/1/1998,Hinapia,South Korea,167,48,,F
Rena,Kang Yebin,10/19/1998,Hinapia,South Korea,162,49,,F
Kyulkyung,Zhou Jieqiong,12/16/1998,Pristin,China,167,49,Taizhou,F
Yehana,Kim Yewon,2/22/1999,Pristin,South Korea,0,0,Ilsan,F
Sungyeon,Bae Sungyeon,5/25/1999,Pristin,USA,0,0,California,F
Xiyeon,Park Junghyun,11/14/2000,Pristin,South Korea,164,51,,F
Kyla,Kyla Massie,12/26/2001,Pristin,USA,0,0,California,F
Alice,Song Joohee,3/21/1990,Hello Venus,South Korea,166,47,Wonju,F
Nara,Kwon Nara,3/13/1991,Hello Venus,South Korea,172,52,Seongnam,F
Lime,Kim Hyerim,1/19/1993,Hello Venus,South Korea,169,50,,F
Seoyoung,Lee Seoyoung,6/27/1994,Hello Venus,South Korea,164,50,,F
Yooyoung,Lee Yooyoung,1/23/1995,Hello Venus,South Korea,170,49,Suwon,F
Yeoreum,Ahn Chaeyeon,6/4/1996,Hello Venus,South Korea,167,48,,F
Eunice,Heo Sooyeon,9/2/1991,DIA,South Korea,166,49,Busan,F
Huihyeon,Ki Huihyeon,6/16/1995,DIA,South Korea,167,46,Namwon,F
Jenny,Lee Soyul,9/4/1996,,South Korea,165,47,Seoul,F
Yebin,Baek Yebin,7/13/1997,DIA,South Korea,164,43,Chuncheon,F
Eunjin,Ahn Eunjin,8/31/1997,,South Korea,170,49,Mokpo,F
Chaeyeon,Jung Chaeyeon,12/1/1997,DIA,South Korea,165,49,Suncheon,F
Eunchae,Kwon Chaewon,5/26/1999,DIA,South Korea,0,0,,F
Taeil,Moon Taeil,6/14/1994,NCT,South Korea,171,60,Seoul,M
Taeyong,Lee Taeyong,7/1/1995,NCT,South Korea,0,0,,M
Doyoung,Kim Dongyoung,2/1/1996,NCT,South Korea,0,0,Guri,M
Ten,Chittaphon Leechaiyapornkul,2/27/1996,NCT,Thailand,0,0,Bangkok,M
Jaehyun,Jung Yoonoh,2/14/1997,NCT,South Korea,0,0,Seoul,M
Mark,Mark Lee,8/2/1999,NCT,Canada,0,0,Vancouver,M
Johnny,John Seo,2/9/1995,NCT,USA,0,0,Chicago,M
Yuta,Nakamoto Yuta,10/26/1995,NCT,Japan,0,0,Osaka,M
Winwin,Dong Sicheng,10/28/1997,NCT,China,0,0,Zhejiang,M
Haechan,Lee Donghyuk,6/6/2000,NCT,South Korea,0,0,,M
Renjun,Hwang Renjun,3/23/2000,NCT,China,0,0,Jilin,M
Jeno,Lee Jeno,4/23/2000,NCT,South Korea,0,0,,M
Jaemin,Na Jaemin,8/13/2000,NCT,South Korea,0,0,,M
Chenle,Zhong Chenle,11/22/2001,NCT,China,0,0,Shanghai,M
Jisung,Park Jisung,2/5/2002,NCT,South Korea,0,0,,M
Soohyun,Shin Soohyun,3/11/1989,U-KISS,South Korea,0,0,Pocheon,M
Kiseop,Lee Kiseop,1/17/1991,U-KISS,South Korea,0,0,Seongnam,M
Eli,Ellison Kim,3/13/1991,U-KISS,USA,0,0,Los Angeles,M
Hoon,Yeo Hoonmin,8/16/1991,U-KISS,South Korea,0,0,Namyangju,M
Kevin,Christopher Woo,11/25/1991,U-KISS,USA,0,0,Los Angeles,M
Jun,Lee Junyoung,1/22/1997,U-KISS,South Korea,0,0,,M
Seungho,Yang Seungho,10/16/1987,MBLAQ,South Korea,0,0,Seoul,M
G.O,Jung Byunghee,11/6/1987,MBLAQ,South Korea,0,0,Changwon,M
Mir,Bang Cheolyong,3/10/1991,MBLAQ,South Korea,0,0,Bukhamyeon,M
Lee Joon,Lee Changseon,2/7/1988,,South Korea,0,0,Seoul,M
Thunder,Park Sanghyun,10/7/1990,,South Korea,0,0,Busan,M
C.A.P,Bang Minsoo,11/4/1992,Teen Top,South Korea,0,0,Seongnam,M
Chunji,Lee Chanhee,10/5/1993,Teen Top,South Korea,0,0,Seongnam,M
L.Joe,Lee Byunghun,11/23/1993,,South Korea,0,0,Gunsan,M
Niel,Ahn Daniel,8/16/1994,Teen Top,South Korea,0,0,Anyang,M
Ricky,Yoo Changhyun,2/27/1995,Teen Top,South Korea,0,0,Seoul,M
Changjo,Choi Jonghyun,11/16/1995,Teen Top,South Korea,0,0,Chuncheon,M
MJ,Kim Myungjun,3/5/1994,ASTRO,South Korea,0,0,Nowon,M
Jin Jin,Park Jinwoo,3/15/1996,ASTRO,South Korea,0,0,Nowon,M
Eunwoo,Cha Eunwoo,3/30/1997,ASTRO,South Korea,0,0,Gunpo,M
Moon Bin,Moon Bin,1/26/1998,ASTRO,South Korea,0,0,Cheongju,M
Rocky,Park Minhyuk,2/25/1999,ASTRO,South Korea,0,0,Jinju,M
Sanha,Yoon Sanha,3/21/2000,ASTRO,South Korea,0,0,Seoul,M
Kevin,Kevin Jiyeop Kim,2/23/1988,ZE:A,South Korea,0,0,Sydney,M
Kwanghee,Hwang Kwanghee,8/25/1988,ZE:A,South Korea,0,0,Paju,M
Siwan,Yim Siwan,12/1/1988,ZE:A,South Korea,0,0,Busan,M
Lee Hoo,Moon Junyoung,2/9/1989,ZE:A,South Korea,0,0,Seoul,M
Taeheon,Kim Taeheon,6/18/1989,ZE:A,South Korea,0,0,Gwangju,M
Heechul,Jung Heechul,12/9/1989,ZE:A,South Korea,0,0,Jeju,M
Minwoo,Ha Minwoo,9/6/1990,ZE:A,South Korea,0,0,Yangsan,M
Hyungsik,Park Hyungsik,11/16/1991,ZE:A,South Korea,0,0,Yongin,M
Dongjun,Kim Dongjun,2/11/1992,ZE:A,South Korea,0,0,Busan,M
Shownu,Son Hyunwoo,6/18/1992,MONSTA X,South Korea,0,0,,M
Wonho,Shin Hoseok,3/1/1993,,South Korea,0,0,Anyang,M
Minhyuk,Lee Minhyuk,11/3/1993,MONSTA X,South Korea,0,0,,M
Kihyun,Yoo Kihyun,11/22/1993,MONSTA X,South Korea,0,0,Goyang,M
Hyungwon,Chae Hyungwon,1/15/1994,MONSTA X,South Korea,0,0,Gwangju,M
Jooheon,Lee Jooheon,10/6/1994,MONSTA X,South Korea,0,0,Daegu,M
I.M,Lim Changkyun,1/26/1996,MONSTA X,South Korea,0,0,Gwangju,M
Rain,Jung Jihoon,6/25/1982,,South Korea,0,0,Seosan,M
PSY,Park Jaesang,12/31/1977,,South Korea,0,0,Seoul,M
Gunwoo,Lee Gunwoo,1/30/1989,MYNAME,South Korea,0,0,Daejeon,M
Insoo,Kang Insoo,3/10/1988,MYNAME,South Korea,0,0,Suwon,M
Seyong,Kim Seyong,11/20/1991,MYNAME,South Korea,0,0,Busan,M
JunQ,Kang Junkyu,8/9/1993,MYNAME,South Korea,0,0,Uljeongbu,M
Chaejin,Chae Jinseok,12/26/1995,MYNAME,South Korea,0,0,Seoul,M
Chungha,Kim Chungha,2/9/1996,,South Korea,0,0,Dallas,F
Sohye,Kim Sohye,7/19/1999,,South Korea,0,0,Seoul,F
Yoojung,Choi Yoojung,11/12/1999,Weki Meki,South Korea,0,0,Guri,F
Doyeon,Kim Doyeon,12/4/1999,Weki Meki,South Korea,0,0,Incheon,F
Somi,Jeon Somi,3/9/2001,,South Korea,0,0,Ontario,F
Jinu,Kim Jinwoo,9/26/1991,WINNER,South Korea,0,0,Imja,M
Hoony,Lee Seunghoon,1/11/1992,WINNER,South Korea,0,0,Busan,M
Yoon,Kang Seungyoon,1/21/1994,WINNER,South Korea,0,0,Busan,M
Mino,Song Minho,3/30/1993,WINNER,South Korea,0,0,Yongin,M
Taehyun,Nam Taehyun,5/10/1994,,South Korea,0,0,Hanam,M
B.I,Kim Hanbin,10/22/1996,,South Korea,0,0,Goyang,M
Jay,Kim Jinhwan,2/7/1994,iKON,South Korea,0,0,Jeju,M
Song,Song Yunhyeong,2/8/1995,iKON,South Korea,0,0,,M
Bobby,Kim Jiwon,12/21/1995,iKON,South Korea,0,0,Seoul,M
DK,Kim Donghyuk,1/3/1997,iKON,South Korea,0,0,,M
Ju-ne,Koo Junhoe,3/31/1997,iKON,South Korea,0,0,Seoul,M
Chan,Jung Chanwoo,1/26/1998,iKON,South Korea,0,0,Yongin,M
I,Cha Yoonji,12/2/1996,,South Korea,0,0,Busan,F
Jae,Park Jaehyung,9/15/1992,DAY6,South Korea,0,0,Buenos Aires,M
Sungjin,Park Sungjin,1/16/1993,DAY6,South Korea,0,0,,M
Young K,Kang Young-hyun,12/19/1993,DAY6,South Korea,0,0,,M
Wonpil,Kim Wonpil,4/28/1994,DAY6,South Korea,0,0,,M
Dowoon,Yoon Dowoon,8/25/1995,DAY6,South Korea,0,0,,M
Junhyeok,Kim Junhyeok,7/17/1993,,South Korea,0,0,,M
Yonghwa,Jung Yonghwa,6/22/1989,CNBLUE,South Korea,0,0,Seoul,M
Jonghyun,Lee Jonghyun,5/15/1990,CNBLUE,South Korea,0,0,Busan,M
Minhyuk,Kang Minhyuk,6/28/1991,CNBLUE,South Korea,0,0,Ilsan,M
Jungshin,Lee Jungshin,9/15/1991,CNBLUE,South Korea,0,0,,M
Jonghoon,Choi Jonghoon,3/7/1990,FTISLAND,South Korea,0,0,Seoul,M
Honggi,Lee Honggi,3/2/1990,FTISLAND,South Korea,0,0,Gwangju,M
Jaejin,Lee Jaejin,12/17/1991,FTISLAND,South Korea,0,0,Cheongju,M
Seunghyun,Song Seungyun,8/21/1992,FTISLAND,South Korea,0,0,Seoul,M
Minhwan,Choi Minhwan,11/11/1992,FTISLAND,South Korea,0,0,Seoul,M
Kwangjin,Kwon Kwangjin,8/12/1992,N.Flying,South Korea,0,0,Seoul,M
Seunghyub,Lee Seunghyub,10/31/1992,N.Flying,South Korea,0,0,Daegu,M
Cha Hoon,Cha Hoon,7/12/1994,N.Flying,South Korea,0,0,Seoul,M
Jaehyun,Kim Jaehyun,7/15/1994,N.Flying,South Korea,0,0,Seoul,M
Inseong,Kim Inseong,7/12/1993,SF9,South Korea,0,0,,M
Youngbin,Kim Youngbin,11/23/1993,SF9,South Korea,0,0,,M
Jaeyoon,Lee Jaeyoon,8/9/1994,SF9,South Korea,0,0,,M
Dawon,Lee Sanghyuk,7/24/1995,SF9,South Korea,0,0,,M
Zuho,Bae Juho,7/4/1996,SF9,South Korea,0,0,,M
Rowoon,Kim Seokwoo,8/7/1996,SF9,South Korea,0,0,,M
Taeyang,Yoo Taeyang,2/28/1997,SF9,South Korea,0,0,,M
Hwiyoung,Kim Youngkyun,5/11/1999,SF9,South Korea,0,0,,M
Chani,Kang Chanhee,1/17/2000,SF9,South Korea,0,0,,M
Johyun,Shin Jiwon,4/14/1996,Berry Good,South Korea,0,0,,F
Serri,Park Miyeon,9/16/1990,Dal Shabet,South Korea,0,0,Seoul,F
Ahyoung,Cho Jayoung,5/26/1991,Dal Shabet,South Korea,0,0,Seoul,F
Woohee,Bae Woohee,11/21/1991,Dal Shabet,South Korea,0,0,Busan,F
Subin,Park Subin,2/12/1994,Dal Shabet,South Korea,0,0,Gwangju,F
Jiyul,Yang Jungyoon,7/30/1991,,South Korea,0,0,Seoul,F
Gaeun,Cho Kaeun,7/28/1992,,South Korea,0,0,Changwon,F
Viki,Kang Eunhye,3/28/1988,,South Korea,0,0,Seoul,F
Haeri,Lee Haeri,2/14/1985,Davichi,South Korea,0,0,Seoul,F
Minkyung,Kang Minkyung,8/3/1990,Davichi,South Korea,0,0,Goyang,F
Sulli†,Choi Jinri,3/29/1994,,South Korea,0,0,Busan,F
Ashley,Ashley Choi,11/9/1991,Ladies' Code,South Korea,0,0,Incheon,F
Sojung,Lee Sojung,9/3/1993,Ladies' Code,South Korea,0,0,Wonju,F
Zuny,Kim Joomi,12/8/1994,Ladies' Code,South Korea,0,0,Gwangju,F
Yunji,Lee Yunji,4/4/1992,Playback,South Korea,0,0,,F
Hayoung,Lee Hayoung,8/3/1993,Playback,South Korea,0,0,,F
Yujin,Seo Yoojin,6/18/1994,Playback,South Korea,0,0,,F
Woolim,Hwang Woolim,8/29/1996,Playback,South Korea,0,0,,F
Red,Lee Heejin,7/10/1991,Pungdeng-E,South Korea,163,0,Daegu,F
Yellow,Kim Eunbi,5/5/1993,Pungdeng-E,South Korea,156,0,Seoul,F
Blue,Jung Gahee,1/18/1994,Pungdeng-E,South Korea,161,0,Gwangju,F
Jaekyung,Kim Jaekyung,12/24/1988,Rainbow,South Korea,168,45,Seoul,F
Woori,Go Woori,2/22/1988,Rainbow,South Korea,165,44,Jeonju,F
Seungah,Oh Seungah,9/13/1988,Rainbow,South Korea,167,45,Seoul,F
Noeul,No Eul,5/10/1989,Rainbow,South Korea,164,44,Jeonju,F
Yoonhye,Jung Yoonhye,4/14/1990,Rainbow,South Korea,166,47,Daejeon,F
Jisook,Kim Jisook,7/18/1990,Rainbow,South Korea,164,41,Suwon,F
Hyunyoung,Cho Hyunyoung,8/11/1991,Rainbow,South Korea,160,41,Seoul,F
J-Hoon,Lim Junghoon,7/15/1990,B.I.G,South Korea,172,62,Seoul,M
Benji,Baek Jaewook,5/3/1992,B.I.G,USA,183,72,Indianapolis,M
Gunmin,Lee Gunmin,10/3/1994,B.I.G,South Korea,177,64,Gangwon,M
Minpyo,Gook Minpyo,11/15/1994,B.I.G,South Korea,173,57,Gwangju,M
Heedo,Yoon Heedo,4/22/1996,B.I.G,South Korea,180,60,Seoul,M
Vivi,Wong Viian,12/9/1996,LOONA,Hong Kong,0,0,Hong Kong,F
Minjae,Shin Minjae,8/13/1991,Tahiti,South Korea,0,0,Busan,F
Miso,Park Miso,4/4/1991,Tahiti,South Korea,0,0,Gwangju,F
Jerrry,Ahn Sohyun,8/27/1992,Tahiti,South Korea,0,0,Seoul,F
Jisoo,Shin Jisoo,2/28/1994,Tahiti,South Korea,0,0,Chuncheon,F
Ari,Kim Sunyoung,10/23/1994,Tahiti,South Korea,0,0,Daegu,F
Sihyun,Park Sihyun,11/29/1986,SPICA,South Korea,0,0,,F
Boa,Kim Boah,1/14/1987,KEEMBO,South Korea,0,0,,F
Narae,Park Narae,2/23/1988,SPICA,South Korea,0,0,Incheon,F
Jiwon,Yang Jiwon,4/5/1988,UNI.T,South Korea,0,0,Seoul,F
Bohyung,Kim Bohyung,3/31/1991,KEEMBO,South Korea,0,0,,F
Gayoung,Kim Gayoung,12/2/1991,Stellar,South Korea,0,0,Seoul,F
Minhee,Joo Minhee,1/3/1993,Stellar,South Korea,0,0,Seoul,F
Hyeoeun,Lee Hyoeun,3/16/1993,Stellar,South Korea,0,0,Seoul,F
Jeonyul,Jeon Yuri,3/20/1994,Stellar,South Korea,0,0,Seoul,F
Jiyou,Im Changsook,6/15/1989,Two X,South Korea,0,0,,F
Eun,Choi Eunmi,5/14/1990,Two X,South Korea,0,0,,F
Surin,Kim Surin,12/27/1991,Two X,South Korea,0,0,,F
Eunyoung,Joo Eunyoung,6/12/1992,Two X,South Korea,0,0,,F
Nari,Kim Nari,10/5/1992,Wassup,South Korea,0,0,,F
Jiae,Kim Jiae,10/31/1995,Wassup,South Korea,0,0,,F
Sujin,Bang Sujin,6/26/1996,Wassup,South Korea,0,0,,F
Woojoo,Kim Woojoo,8/12/1996,Wassup,South Korea,0,0,,F
Jinju,Park Jinju,4/28/1990,,South Korea,0,0,,F
Dain,Song Jieun,6/25/1990,,South Korea,0,0,,F
Nada,Yoon Yejin,5/24/1991,,South Korea,0,0,,F
Minwoo†,Seo Minwoo,2/8/1985,100%,South Korea,0,0,Daegu,M
Rokhyun,Kim Rokhyun,2/10/1991,100%,South Korea,0,0,Suncheon,M
Jonghwan,Jo Jonghwan,11/23/1992,100%,South Korea,0,0,Seoul,M
Chanyong,Kim Chanyong,4/29/1993,100%,South Korea,0,0,Suwon,M
Hyukjin,Jang Hyukjin,12/20/1993,100%,South Korea,0,0,Busan,M
Sanghoon,Lee Sanghoon,12/23/1993,,South Korea,0,0,Cheongju,M
Changbum,Woo Changbum,10/7/1993,,South Korea,0,0,Sokcho,M
Cory,Hong Joohyung,11/25/1990,24K,South Korea,175,58,Daegu,M
Sungoh,Yoo Sungoh,1/8/1991,,South Korea,0,0,,M
Kisu,Choi Kisu,10/2/1990,24K,South Korea,179,60,Seoul,M
Daeil,Kim Daeil,5/10/1992,,South Korea,0,0,Busan,M
Jeonguk,Kim Jeonguk,3/20/1993,24K,South Korea,178,58,Busan,M
Hui,Liang Hui,7/18/1995,24K,China,178,58,,M
Changsun,Lee Changsun,3/17/1996,24K,South Korea,179,58,,M
Jinhong,Kim Jinhong,1/2/1998,24K,South Korea,180,53,Seoul,M
Hongseob,Shim Hongseob,1/8/1998,24K,South Korea,177,58,,M
Onejunn,Jo Wonjun,11/22/1988,Boys Republic,South Korea,179,61,Changwon,M
Sunwoo,Choi Sunwoo,3/12/1992,Boys Republic,South Korea,183,65,Seoul,M
Sungjun,Park Sungjun,12/17/1992,Boys Republic,South Korea,175,55,Ansan,M
Minsu,Park Minsu,4/15/1993,Boys Republic,South Korea,172,55,Gwangju,M
Suwoong,Lee Suwoong,1/20/1995,Boys Republic,South Korea,174,56,,M
JB,Im Jaebum,1/6/1994,GOT7,South Korea,179,63,Goyang,M
Mark,Mark Yien Tuan,9/4/1993,GOT7,USA,175,59,Los Angeles,M
Jackson,Jackson Wang,3/28/1994,GOT7,Hong Kong,174,63,Hong Kong,M
Jinyoung,Park Jinyoung,9/22/1994,GOT7,South Korea,178,63,Changwon,M
Youngjae,Choi Youngjae,9/17/1996,GOT7,South Korea,175,59,Mokpo,M
BamBam,Kunpimook Bhuwakul,5/2/1997,GOT7,Thailand,170,52,Bangkok,M
Yugyeom,Kim Yugyeom,11/17/1997,GOT7,South Korea,180,64,Namyangju,M
Aron,Kwak Youngmin,5/21/1993,NU'EST,South Korea,0,0,California,M
JR,Kim Jonghyun,6/8/1995,NU'EST,South Korea,0,0,Gangwon,M
Baekho,Kang Dongho,7/21/1995,NU'EST,South Korea,0,0,Jeju,M
Minhyun,Hwang Minhyun,8/9/1995,NU'EST,South Korea,0,0,Busan,M
Ren,Choi Minki,11/3/1995,NU'EST,South Korea,0,0,Busan,M
Junhyuk,Choi Junhyuk,4/21/1992,HOTSHOT,South Korea,0,0,Ulsan,M
Timoteo,Kim Moongyu,1/25/1993,HOTSHOT,South Korea,0,0,,M
Taehyun,Noh Taehyun,10/15/1993,HOTSHOT,South Korea,0,0,Seoul,M
Sungwoon,Ha Sungwoon,3/22/1994,Wanna One,South Korea,0,0,Goyang,M
Yoonsan,Yoon Sanghyuk,8/22/1994,HOTSHOT,South Korea,0,0,,M
Hojung,Go Hojung,10/20/1994,HOTSHOT,South Korea,0,0,,M
Jisung,Yoon Jisung,3/8/1991,Wanna One,South Korea,0,0,Wonju,M
Seongwu,Ong Seunwu,8/25/1995,Wanna One,South Korea,0,0,Incheon,M
Jaehwan,Kim Jaehwan,5/27/1996,Wanna One,South Korea,0,0,Seoul,M
Daniel,Kang Daniel,12/10/1996,Wanna One,South Korea,0,0,Busan,M
Jihoon,Park Jihoon,5/29/1999,Wanna One,South Korea,0,0,Masan,M
Woojin,Park Woojin,11/2/1999,AB6IX,South Korea,0,0,Busan,M
Jinyoung,Bae Jinyoung,5/10/2000,CIX,South Korea,0,0,Seoul,M
Daehwi,Lee Daehwi,1/29/2001,AB6IX,South Korea,0,0,Seoul,M
Lai Kuanlin,Lai Kuanlin,9/23/2001,Wanna One,Taiwan,0,0,New Taipei,M
Jueun,Lee Jooeun,7/7/1995,DIA,South Korea,0,0,Suwon,F
Somyi,Ahn Somyi,1/26/2000,DIA,South Korea,0,0,Changwon,F
Daisy,Yoo Jeongahn,1/22/1999,,South Korea,0,0,Seoul,F
Taeha,Kim Taeha,6/3/1998,,South Korea,0,0,Jeonju,F
Hyojin,Kim Hyojin,4/22/1994,ONF,South Korea,0,0,Seoul,M
E-tion,Lee Changyoon,12/24/1994,ONF,South Korea,0,0,Jeonju,M
J-Us,Lee Seungjoon,1/13/1995,ONF,South Korea,0,0,Seoul,M
